"balance","deposit"
102127,"no "
98417,"no "
81204,"yes"
81204,"yes"
71188,"no "
66721,"no "
66653,"no "
64343,"no "
59649,"no "
58932,"no "
58544,"no "
57435,"no "
56831,"no "
52587,"yes"
52587,"yes"
52527,"no "
52499,"no "
51439,"no "
45789,"no "
45248,"yes"
45141,"no "
44134,"no "
44128,"no "
43074,"no "
42045,"no "
41923,"no "
41630,"no "
41242,"no "
39385,"no "
39098,"no "
38279,"no "
37378,"no "
37378,"no "
37176,"no "
37127,"no "
36935,"no "
36686,"no "
36252,"yes"
36221,"no "
35589,"no "
35368,"no "
34646,"yes"
34247,"no "
34230,"no "
32948,"no "
32948,"no "
32685,"yes"
32464,"no "
31868,"no "
31630,"no "
31630,"no "
31472,"yes"
29941,"no "
29887,"no "
29484,"no "
29397,"no "
29340,"yes"
29312,"no "
29230,"no "
29207,"no "
29184,"no "
29125,"no "
29080,"yes"
29050,"no "
28433,"no "
28318,"no "
27733,"no "
27696,"yes"
27696,"yes"
27696,"yes"
27696,"yes"
27696,"no "
27624,"yes"
27446,"no "
27359,"no "
27069,"no "
26965,"yes"
26831,"no "
26765,"no "
26721,"no "
26575,"no "
26575,"no "
26452,"no "
26394,"no "
26306,"no "
26306,"no "
26306,"no "
26254,"no "
26254,"no "
26233,"no "
26172,"no "
25947,"no "
25856,"no "
25824,"no "
25741,"no "
25290,"no "
25204,"no "
24870,"no "
24780,"no "
24598,"no "
24598,"no "
24556,"no "
24498,"no "
24450,"no "
24312,"no "
24299,"no "
24277,"yes"
24055,"no "
24025,"no "
23919,"no "
23917,"no "
23878,"yes"
23878,"yes"
23876,"no "
23867,"no "
23663,"no "
23663,"no "
23592,"no "
23552,"no "
23495,"no "
23494,"no "
23421,"no "
23189,"no "
23076,"yes"
23047,"no "
22946,"no "
22928,"no "
22867,"yes"
22867,"no "
22867,"no "
22867,"no "
22856,"no "
22856,"no "
22815,"no "
22755,"no "
22569,"no "
22557,"no "
22546,"no "
22546,"no "
22520,"yes"
22452,"no "
22370,"no "
22341,"no "
22196,"no "
22171,"no "
22171,"no "
22125,"yes"
22086,"yes"
22018,"no "
22008,"no "
21963,"no "
21861,"no "
21854,"no "
21664,"no "
21614,"no "
21574,"no "
21522,"no "
21522,"no "
21515,"no "
21510,"no "
21446,"no "
21292,"no "
21244,"no "
21111,"no "
21096,"no "
21088,"no "
21024,"no "
20932,"no "
20928,"no "
20806,"yes"
20798,"no "
20794,"no "
20772,"no "
20727,"no "
20727,"no "
20723,"no "
20718,"no "
20600,"no "
20585,"yes"
20585,"yes"
20584,"no "
20580,"no "
20541,"no "
20527,"no "
20479,"no "
20453,"no "
20451,"no "
20422,"no "
20261,"no "
20187,"no "
20179,"no "
20138,"yes"
20011,"no "
19985,"no "
19850,"no "
19850,"no "
19833,"no "
19797,"no "
19796,"no "
19706,"no "
19690,"no "
19447,"no "
19447,"no "
19391,"no "
19358,"no "
19348,"no "
19343,"no "
19343,"no "
19317,"yes"
19313,"no "
19268,"yes"
19213,"no "
19102,"no "
18967,"yes"
18931,"no "
18904,"no "
18881,"no "
18777,"no "
18722,"no "
18558,"no "
18508,"yes"
18347,"no "
18268,"no "
18254,"no "
18188,"yes"
18111,"yes"
18016,"yes"
17983,"no "
17964,"yes"
17964,"no "
17964,"yes"
17957,"no "
17946,"no "
17946,"no "
17946,"no "
17946,"no "
17924,"no "
17924,"yes"
17891,"no "
17875,"no "
17769,"no "
17747,"no "
17739,"no "
17672,"no "
17655,"no "
17609,"no "
17555,"no "
17458,"no "
17455,"no "
17455,"no "
17441,"no "
17432,"no "
17418,"no "
17413,"no "
17410,"no "
17361,"no "
17339,"no "
17335,"no "
17332,"no "
17297,"yes"
17206,"no "
17118,"no "
17092,"no "
17056,"no "
17036,"no "
17023,"no "
17008,"no "
16992,"no "
16992,"no "
16957,"no "
16957,"no "
16935,"no "
16922,"no "
16917,"no "
16874,"no "
16873,"no "
16873,"no "
16873,"no "
16869,"no "
16843,"no "
16786,"no "
16727,"no "
16649,"no "
16649,"no "
16563,"no "
16517,"no "
16517,"no "
16517,"no "
16489,"no "
16486,"no "
16432,"no "
16432,"no "
16431,"no "
16430,"no "
16430,"no "
16402,"no "
16397,"no "
16377,"no "
16358,"no "
16353,"no "
16264,"no "
16236,"no "
16232,"no "
16178,"no "
16173,"no "
16125,"no "
16125,"no "
16119,"no "
16063,"no "
15904,"no "
15841,"no "
15834,"no "
15834,"no "
15801,"no "
15787,"no "
15740,"no "
15681,"no "
15578,"no "
15561,"no "
15520,"no "
15515,"no "
15511,"no "
15485,"no "
15485,"yes"
15477,"no "
15474,"no "
15459,"no "
15459,"yes"
15449,"no "
15445,"no "
15442,"no "
15437,"no "
15423,"no "
15352,"no "
15341,"no "
15341,"no "
15311,"no "
15302,"no "
15298,"no "
15265,"no "
15265,"no "
15261,"no "
15187,"no "
15169,"no "
15161,"yes"
15161,"yes"
15120,"no "
15088,"no "
15062,"no "
15035,"no "
15030,"no "
14968,"yes"
14930,"no "
14922,"no "
14902,"no "
14889,"no "
14850,"no "
14752,"no "
14692,"no "
14679,"no "
14657,"no "
14646,"yes"
14611,"no "
14533,"no "
14533,"yes"
14530,"no "
14522,"no "
14481,"yes"
14462,"no "
14440,"no "
14412,"no "
14387,"no "
14363,"no "
14355,"no "
14355,"no "
14352,"no "
14344,"no "
14282,"no "
14282,"yes"
14232,"no "
14220,"yes"
14215,"no "
14204,"no "
14190,"no "
14170,"no "
14148,"no "
14144,"yes"
14107,"no "
14093,"no "
14058,"no "
14054,"no "
14004,"no "
14000,"no "
13931,"no "
13930,"no "
13901,"no "
13893,"no "
13887,"no "
13874,"no "
13853,"no "
13851,"no "
13849,"no "
13849,"no "
13836,"no "
13834,"no "
13818,"no "
13818,"no "
13774,"no "
13763,"no "
13761,"no "
13718,"no "
13711,"yes"
13711,"no "
13698,"no "
13683,"no "
13683,"no "
13669,"no "
13669,"no "
13658,"no "
13654,"no "
13620,"no "
13578,"no "
13578,"no "
13565,"no "
13562,"no "
13551,"no "
13546,"no "
13546,"yes"
13501,"no "
13494,"no "
13489,"no "
13460,"yes"
13450,"no "
13410,"no "
13408,"no "
13360,"no "
13354,"no "
13342,"no "
13338,"no "
13315,"no "
13308,"no "
13297,"no "
13297,"no "
13292,"no "
13265,"no "
13242,"no "
13238,"no "
13229,"no "
13204,"no "
13189,"no "
13186,"no "
13186,"no "
13165,"no "
13164,"no "
13160,"no "
13156,"no "
13156,"no "
13156,"no "
13118,"no "
13117,"no "
13107,"yes"
13107,"no "
13099,"no "
13094,"yes"
13089,"no "
13054,"no "
13054,"no "
13052,"no "
13044,"no "
13044,"no "
13021,"no "
13015,"no "
13014,"yes"
13014,"yes"
12980,"yes"
12980,"no "
12972,"yes"
12961,"no "
12956,"yes"
12956,"yes"
12939,"no "
12939,"no "
12928,"no "
12926,"no "
